Solution set obtained are :
x1           x2
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
0.498045   0.051808
